,X.timestamp,X.version,X_id,X_index,X_score,X_type,beat.hostname,beat.version,enrichment.branch.name,metricset.module,metricset.name,metricset.rtt,system.network.in.bytes,system.network.in.dropped,system.network.in.errors,system.network.in.packets,system.network.name,system.network.out.bytes,system.network.out.dropped,system.network.out.errors,system.network.out.packets
38332,"December 18th 2018, 15:20:58.074",1,tMtUwmcBbOSZnM2xN8e2,metricbeat-000209,NA,doc,114,6.2.4,13,system,network,"3,251",1.779GB,0,0,"4,220,667",Ethernet,1.293GB,0,0,"4,840,892"
38225,"December 18th 2018, 15:21:57.623",1,7NNUwmcB6ZGVNHRkeF9f,metricbeat-000209,NA,doc,115,6.2.4,14,system,network,"1,970",971.537MB,0,0,"1,990,427",Ethernet,543.851MB,0,0,"2,020,831"
38246,"December 18th 2018, 15:21:42.591",1,Bzg7wmcBdDbnrhqkvte0,metricbeat-000209,NA,doc,116,6.2.4,14,system,network,969,93.372MB,0,0,"170,394",Ethernet,45.797MB,0,0,"170,697"
38509,"December 18th 2018, 15:18:54.157",1,5I9TwmcBAOA7YPJG1777,metricbeat-000209,NA,doc,117,6.2.4,14,system,network,"2,025",503.697MB,0,0,"1,008,034",Ethernet,300.544MB,0,0,"1,041,525"
38342,"December 18th 2018, 15:20:52.734",1,AlhUwmcBN4R-DFd1M94o,metricbeat-000209,NA,doc,118,6.2.4,14,system,network,"2,027",374.163MB,0,0,"885,953",Ethernet,246.237MB,0,0,"938,669"
38280,"December 18th 2018, 15:21:26.070",1,zYA7wmcBuqt-6aA3uFtt,metricbeat-000209,NA,doc,119,6.2.4,14,system,network,"2,990",331.843MB,0,0,"754,010",Ethernet,204.895MB,0,0,"789,176"
38545,"December 18th 2018, 15:18:34.240",1,KstTwmcBbOSZnM2xyAg_,metricbeat-000209,NA,doc,120,6.2.4,14,system,network,"3,054",617.784MB,0,0,"1,178,276",Ethernet,347.351MB,0,0,"1,215,232"
38314,"December 18th 2018, 15:21:11.629",1,_NNUwmcB6ZGVNHRkQR1Q,metricbeat-000209,NA,doc,121,6.2.4,14,system,network,"4,000",699.185MB,0,0,"1,363,595",Ethernet,428.404MB,0,0,"1,405,332"
38652,"December 18th 2018, 15:17:28.766",1,dbA7wmcBbOSZnM2xbZL9,metricbeat-000209,NA,doc,122,6.2.4,14,system,network,"4,051",751.851MB,0,0,"1,527,764",Ethernet,480.799MB,0,0,"1,603,862"
38228,"December 18th 2018, 15:21:55.869",1,PbU7wmcBX8H-MD0_yJup,metricbeat-000209,NA,doc,123,6.2.4,15,system,network,974,17.12MB,0,0,"31,101",Ethernet,7.834MB,0,0,"29,733"
38450,"December 18th 2018, 15:19:41.139",1,bRc7wmcBrehMbwjYmqTj,metricbeat-000209,NA,doc,124,6.2.4,15,system,network,"2,860",94.199MB,0,0,"186,645",Ethernet,49.201MB,0,0,"189,646"
38384,"December 18th 2018, 15:20:23.348",1,5zJUwmcBrehMbwjYIkRU,metricbeat-000209,NA,doc,125,6.2.4,15,system,network,997,93.82MB,0,0,"194,207",Ethernet,51.982MB,0,0,"209,955"
38425,"December 18th 2018, 15:20:04.834",1,mCxUwmcBxOZ1qs_pGPcb,metricbeat-000209,NA,doc,126,6.2.4,15,system,network,"1,956",123.575MB,0,0,"246,169",Ethernet,61.177MB,0,0,"259,664"
38526,"December 18th 2018, 15:18:43.390",1,wX87wmcBuqt-6aA3iK_8,metricbeat-000209,NA,doc,127,6.2.4,15,system,network,"1,863",1.143GB,0,0,"2,650,192",Ethernet,807.547MB,0,0,"2,937,593"
38604,"December 18th 2018, 15:17:58.081",1,os5TwmcBX8H-MD0_pvC3,metricbeat-000209,NA,doc,128,6.2.4,16,system,network,"3,861",326.747MB,0,0,"801,322",Ethernet,215.551MB,0,0,"821,587"
38561,"December 18th 2018, 15:18:28.179",1,2xQ7wmcBn_oGi6rsg6RP,metricbeat-000209,NA,doc,130,6.2.4,16,system,network,"3,965",1.432GB,0,0,"2,494,920",Ethernet,639.91MB,0,0,"2,383,196"
38317,"December 18th 2018, 15:21:10.057",1,crg7wmcB6ZGVNHRksrrx,metricbeat-000209,NA,doc,131,6.2.4,16,system,network,"1,002",109.664MB,0,0,"216,407",Ethernet,55.352MB,0,0,"211,993"
38410,"December 18th 2018, 15:20:12.503",1,kbY8wmcBX8H-MD0_CStr,metricbeat-000209,NA,doc,132,6.2.4,16,system,network,"1,029",70.457MB,0,0,"150,057",Ethernet,40.013MB,0,0,"156,972"
38600,"December 18th 2018, 15:18:05.467",1,KLE7wmcBbOSZnM2xvrn7,metricbeat-000209,NA,doc,133,6.2.4,16,system,network,"4,029",25.699MB,0,0,"49,130",Ethernet,15.596MB,0,0,"50,538"
38231,"December 18th 2018, 15:21:55.158",1,17I8wmcBbOSZnM2xN8fz,metricbeat-000209,NA,doc,134,6.2.4,16,system,network,"4,038",281.239MB,0,0,"626,274",Ethernet,167.642MB,0,0,"669,745"
