,X_timestamp,X_version,X_id,X_index,X_score,X_type,beat_hostname,beat_version,enrichment_branch_name,metricset_module,metricset_name,metricset_rtt,system_cpu_cores,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct
17160,"December 18th 2018, 13:00:46.924",1,TJQTwmcBbOSZnM2xoCO1,metricbeat-000209,NA,doc,82,6.2.4,9,system,cpu,,4,393.21%,0%,0%,0%,0%,0%,5.69%,0.06790,1.09%
17046,"December 18th 2018, 13:04:05.663",1,qY4BwmcB6ZGVNHRkeEHp,metricbeat-000209,NA,doc,83,6.2.4,9,system,cpu,,4,393.68%,0%,0%,0%,0%,0%,5.29%,0.06320,1.03%
17088,"December 18th 2018, 13:02:55.059",1,GJwUwmcB6ZGVNHRkNWyk,metricbeat-000209,NA,doc,84,6.2.4,9,system,cpu,,4,396.43%,0%,0%,0%,0%,0%,2.86%,0.03570,0.71%
17179,"December 18th 2018, 13:00:08.071",1,QJMTwmcBbOSZnM2xj-0F,metricbeat-000209,NA,doc,85,6.2.4,10,system,cpu,,4,397.45%,0%,0%,0%,0%,0%,1.99%,0.02550,0.55%
17101,"December 18th 2018, 13:02:37.600",1,tOoBwmcBn_oGi6rsQDmV,metricbeat-000209,NA,doc,86,6.2.4,10,system,cpu,,4,393.51%,0%,0%,0%,0%,0%,4.68%,0.06490,1.81%
17099,"December 18th 2018, 13:02:39.293",1,yZgUwmcBX8H-MD0_I7Nk,metricbeat-000209,NA,doc,87,6.2.4,10,system,cpu,,4,398.21%,0%,0%,0%,0%,0%,1.44%,0.01790,0.34%
17031,"December 18th 2018, 13:04:50.161",1,SJolwmcBX8H-MD0_Fliv,metricbeat-000209,NA,doc,88,6.2.4,10,system,cpu,,4,395.37%,0%,0%,0%,0%,0%,3.86%,0.04630,0.77%
17074,"December 18th 2018, 13:03:21.158",1,iekBwmcBn_oGi6rsAceG,metricbeat-000209,NA,doc,89,6.2.4,10,system,cpu,,4,396.37%,0%,0%,0%,0%,0%,2.97%,0.03630,0.66%
17051,"December 18th 2018, 13:03:56.165",1,SkoBwmcBAOA7YPJGMW48,metricbeat-000209,NA,doc,90,6.2.4,11,system,cpu,143,4,395.23%,0%,0%,0%,0%,0%,3.81%,0.04770,0.96%
17106,"December 18th 2018, 13:02:20.913",1,fwwAwmcBdDbnrhqk2KM5,metricbeat-000209,NA,doc,91,6.2.4,11,system,cpu,,4,385.13%,0%,0%,0%,0%,0%,12.93%,0.14870,1.94%
